mes,variable,faltantes,filas,porcentaje
2026-01,VendorID,0,3724889,0.0
2026-01,tpep_pickup_datetime,0,3724889,0.0
2026-01,tpep_dropoff_datetime,0,3724889,0.0
2026-01,passenger_count,1088058,3724889,29.21048117138524
2026-01,trip_distance,0,3724889,0.0
2026-01,RatecodeID,1088058,3724889,29.21048117138524
2026-01,store_and_fwd_flag,1088058,3724889,29.21048117138524
2026-01,PULocationID,0,3724889,0.0
2026-01,DOLocationID,0,3724889,0.0
2026-01,payment_type,0,3724889,0.0
2026-01,fare_amount,0,3724889,0.0
2026-01,extra,0,3724889,0.0
2026-01,mta_tax,0,3724889,0.0
2026-01,tip_amount,0,3724889,0.0
2026-01,tolls_amount,0,3724889,0.0
2026-01,improvement_surcharge,0,3724889,0.0
2026-01,total_amount,0,3724889,0.0
2026-01,congestion_surcharge,1088058,3724889,29.21048117138524
2026-01,Airport_fee,1088058,3724889,29.21048117138524
2026-01,cbd_congestion_fee,0,3724889,0.0
2026-02,VendorID,0,3399866,0.0
2026-02,tpep_pickup_datetime,0,3399866,0.0
2026-02,tpep_dropoff_datetime,0,3399866,0.0
2026-02,passenger_count,1023317,3399866,30.09874506818798
2026-02,trip_distance,0,3399866,0.0
2026-02,RatecodeID,1023317,3399866,30.09874506818798
2026-02,store_and_fwd_flag,1023317,3399866,30.09874506818798
2026-02,PULocationID,0,3399866,0.0
2026-02,DOLocationID,0,3399866,0.0
2026-02,payment_type,0,3399866,0.0
2026-02,fare_amount,0,3399866,0.0
2026-02,extra,0,3399866,0.0
2026-02,mta_tax,0,3399866,0.0
2026-02,tip_amount,0,3399866,0.0
2026-02,tolls_amount,0,3399866,0.0
2026-02,improvement_surcharge,0,3399866,0.0
2026-02,total_amount,0,3399866,0.0
2026-02,congestion_surcharge,1023317,3399866,30.09874506818798
2026-02,Airport_fee,1023317,3399866,30.09874506818798
2026-02,cbd_congestion_fee,0,3399866,0.0
2026-03,VendorID,0,3952451,0.0
2026-03,tpep_pickup_datetime,0,3952451,0.0
2026-03,tpep_dropoff_datetime,0,3952451,0.0
2026-03,passenger_count,945748,3952451,23.92813977959499
2026-03,trip_distance,0,3952451,0.0
2026-03,RatecodeID,945748,3952451,23.92813977959499
2026-03,store_and_fwd_flag,945748,3952451,23.92813977959499
2026-03,PULocationID,0,3952451,0.0
2026-03,DOLocationID,0,3952451,0.0
2026-03,payment_type,0,3952451,0.0
2026-03,fare_amount,0,3952451,0.0
2026-03,extra,0,3952451,0.0
2026-03,mta_tax,0,3952451,0.0
2026-03,tip_amount,0,3952451,0.0
2026-03,tolls_amount,0,3952451,0.0
2026-03,improvement_surcharge,0,3952451,0.0
2026-03,total_amount,0,3952451,0.0
2026-03,congestion_surcharge,945748,3952451,23.92813977959499
2026-03,Airport_fee,945748,3952451,23.92813977959499
2026-03,cbd_congestion_fee,0,3952451,0.0
