mes,payment_type,n,sin_propina_registrada,porcentaje_cero
2026-01,0,1088058,999674,91.87690362094668
2026-01,1,2249747,211272,9.390922623743913
2026-01,2,314043,314019,99.99235773445038
2026-01,3,16641,16635,99.96394447449072
2026-01,4,56400,56381,99.96631205673759
2026-02,0,1023317,933699,91.24240093734394
2026-02,1,2051661,193976,9.454583383902117
2026-02,2,273616,273600,99.99415238874919
2026-02,3,12384,12376,99.93540051679587
2026-02,4,38888,38872,99.95885620242748
2026-03,0,945748,857384,90.65670770649264
2026-03,1,2608830,255461,9.79216737004711
2026-03,2,353541,353524,99.99519150536996
2026-03,3,12842,12836,99.95327830555988
2026-03,4,31490,31479,99.96506827564306
