modelo,n_entrenamiento,n_evaluacion,MAE_pp,RMSE_pp,R2
Media,4225076,2565402,9.747939062886777,107.60959902591743,-5.577449486926511e-06
Mediana,4225076,2565402,9.684785365706047,107.61683170409559,-0.00014000712206230226
Lineal_log1p,211254,2565402,7.5236730636052584,107.28345908155694,0.006046810738952191
