modelo,segmento,n_evaluacion,MAE_pp,RMSE_pp,R2
Media,tarifa_mayor_igual_1_USD,2565390,9.639859660246817,25.32684980319218,-0.00020454312537987462
Mediana,tarifa_mayor_igual_1_USD,2565390,9.576707256724905,25.361904818474617,-0.0029752351528329335
Lineal_log1p,tarifa_mayor_igual_1_USD,2565390,7.415622593185335,24.012249184109788,0.10093279519445642
